Time(ms),Main(mA),Main Voltage(V),
1756273267707524,58.93025146640339,4.19075,
1756273267707525,59.17579418084674,4.192,
1756273267707526,60.89459318195017,4.19325,
1756273267707526,59.666879609733435,4.19325,
1756273267707527,59.91242232417678,4.192,
1756273267707528,60.2807363958418,4.19175,
1756273267707529,78.57366862187119,4.191,
1756273267707529,82.99343748185144,4.18975,
1756273267707530,76.60932690632441,4.19125,
1756273267707531,59.17579418084674,4.1922500000000005,
1756273267707531,56.96590975085661,4.19375,
1756273267707532,57.94808060863,4.1922500000000005,
1756273267707533,58.316394680295026,4.189,
1756273267707533,58.684708751960045,4.19,
1756273267707534,59.17579418084674,4.1915000000000004,
1756273267707535,59.053022823625064,4.1915000000000004,
1756273267707535,58.4391660375167,4.19175,
1756273267707536,58.4391660375167,4.1930000000000005,
1756273267707536,59.17579418084674,4.192,
1756273267707537,57.94808060863,4.19125,
1756273267707538,59.42133689529009,4.18975,
1756273267707538,73.41727161856089,4.189,
1756273267707539,75.13607061966432,4.18975,
1756273267707540,73.90835704744758,4.19125,
1756273267707540,75.01329926244264,4.19175,
1756273267707541,78.69643997909286,4.1925,
1756273267707542,76.11824147743772,4.19275,
1756273267707542,74.15389976189094,4.19275,
1756273267707543,64.20941982693536,4.1915000000000004,
1756273267707544,58.80748010918172,4.19125,
1756273267707544,57.45699517974331,4.191,
1756273267707545,58.193623323073346,4.1925,
1756273267707546,57.94808060863,4.1922500000000005,
1756273267707546,58.684708751960045,4.192,
1756273267707547,59.666879609733435,4.19425,
1756273267707547,58.4391660375167,4.191,
1756273267707548,58.4391660375167,4.1925,
1756273267707549,58.193623323073346,4.19075,
1756273267707549,57.82530925140833,4.1905,
1756273267707550,58.93025146640339,4.19175,
1756273267707551,59.17579418084674,4.192,
1756273267707551,60.52627911028515,4.19375,
1756273267707552,59.91242232417678,4.19175,
1756273267733030,60.40350775306348,4.19075,
1756273267733034,60.649050467506825,4.1875,
1756273267733035,59.54410825251176,4.19125,
1756273267733036,60.40350775306348,4.191,
1756273267733036,61.017364539171844,4.1895,
1756273267733037,63.22724896916197,4.191,
1756273267733037,60.035193681398454,4.1915000000000004,
1756273267733038,69.12027411580232,4.194,
1756273267733038,73.78558569022591,4.19275,
1756273267733039,77.5914977640978,4.192,
1756273267733039,76.97764097798942,4.19,
1756273267733040,79.06475405075788,4.1865,
1756273267733040,77.1004123352111,4.18925,
1756273267733041,76.60932690632441,4.194,
1756273267733041,76.36378419188107,4.19275,
1756273267733042,73.66281433300423,4.1915000000000004,
1756273267733042,77.95981183576282,4.194,
1756273267733043,78.0825831929845,4.1905,
1756273267733043,80.66078169463964,4.19075,
1756273267733044,78.9419826935362,4.19025,
1756273267733044,79.67861083686626,4.192,
1756273267733045,77.1004123352111,4.1930000000000005,
1756273267733045,78.32812590742785,4.19175,
1756273267733046,76.73209826354608,4.19175,
1756273267733046,79.9241535513096,4.189,
1756273267733047,81.27463848074801,4.1915000000000004,
1756273267733048,80.66078169463964,4.19,
1756273267733048,78.9419826935362,4.1895,
1756273267733049,78.0825831929845,4.191,
1756273267733049,77.71426912131948,4.1922500000000005,
1756273267733050,77.46872640687613,4.19175,
1756273267733050,78.0825831929845,4.19,
1756273267733051,78.57366862187119,4.19,
1756273267733051,64.82327661304373,4.18925,
1756273267733052,64.57773389860039,4.19,
1756273267733052,62.49062082583193,4.192,
1756273267733053,64.4549625413787,4.194,
