inference_index,start_us,end_us,duration_us
128,1756255165929237,1756255165934050,4813
129,1756255165934277,1756255165938922,4645
130,1756255165939167,1756255165943768,4601
131,1756255165944022,1756255165948741,4719
132,1756255165948977,1756255165953741,4764
133,1756255165954015,1756255165958685,4670
134,1756255165958924,1756255165963605,4681
135,1756255165963841,1756255165968912,5071
136,1756255165969143,1756255165974198,5055
137,1756255165974428,1756255165979235,4807
138,1756255165979471,1756255165984279,4808
139,1756255165984514,1756255165989273,4759
140,1756255165989509,1756255165994263,4754
141,1756255165994507,1756255165999361,4854
142,1756255165999610,1756255166004406,4796
143,1756255166004639,1756255166009460,4821
144,1756255166009698,1756255166014640,4942
145,1756255166014894,1756255166019246,4352
146,1756255166019478,1756255166024313,4835
147,1756255166024552,1756255166029456,4904
148,1756255166029691,1756255166034604,4913
149,1756255166034846,1756255166039686,4840
150,1756255166039921,1756255166044810,4889
151,1756255166045050,1756255166049833,4783
152,1756255166050120,1756255166054923,4803
153,1756255166055164,1756255166060076,4912
154,1756255166060312,1756255166065125,4813
155,1756255166065357,1756255166070174,4817
156,1756255166070407,1756255166075100,4693
157,1756255166075337,1756255166080058,4721
158,1756255166080300,1756255166085231,4931
159,1756255166085468,1756255166090298,4830
160,1756255166090534,1756255166095313,4779
161,1756255166095558,1756255166100340,4782
162,1756255166100568,1756255166105436,4868
163,1756255166105668,1756255166110635,4967
164,1756255166110877,1756255166115669,4792
165,1756255166115901,1756255166120699,4798
166,1756255166120935,1756255166125679,4744
167,1756255166125915,1756255166130969,5054
168,1756255166131211,1756255166136204,4993
169,1756255166136454,1756255166141081,4627
170,1756255166141334,1756255166145909,4575
171,1756255166146190,1756255166150575,4385
172,1756255166150821,1756255166155281,4460
173,1756255166155528,1756255166160007,4479
174,1756255166160251,1756255166165383,5132
175,1756255166165616,1756255166170550,4934
176,1756255166170785,1756255166175553,4768
177,1756255166175796,1756255166180706,4910
178,1756255166180941,1756255166185719,4778
179,1756255166185959,1756255166190836,4877
180,1756255166191069,1756255166195993,4924
181,1756255166196243,1756255166200803,4560
182,1756255166201054,1756255166205542,4488
183,1756255166205787,1756255166210543,4756
184,1756255166210790,1756255166215275,4485
185,1756255166215516,1756255166219979,4463
186,1756255166220229,1756255166224911,4682
187,1756255166225164,1756255166229746,4582
188,1756255166230085,1756255166234627,4542
189,1756255166234879,1756255166239525,4646
190,1756255166239783,1756255166244413,4630
191,1756255166244664,1756255166249310,4646
192,1756255166249558,1756255166254288,4730
193,1756255166254536,1756255166259210,4674
194,1756255166259461,1756255166263993,4532
195,1756255166264239,1756255166268892,4653
196,1756255166269138,1756255166273751,4613
197,1756255166274137,1756255166278330,4193
198,1756255166278572,1756255166283733,5161
199,1756255166284009,1756255166288532,4523
