inference_index,start_us,end_us,duration_us
394,1756255150380719,1756255150382542,1823
395,1756255150382787,1756255150384659,1872
396,1756255150384887,1756255150386719,1832
397,1756255150386964,1756255150389162,2198
398,1756255150390000,1756255150391886,1886
399,1756255150392124,1756255150393941,1817
400,1756255150394175,1756255150396947,2772
401,1756255150397173,1756255150398990,1817
402,1756255150399228,1756255150401046,1818
403,1756255150401262,1756255150403437,2175
404,1756255150403663,1756255150406083,2420
405,1756255150406313,1756255150408178,1865
406,1756255150408421,1756255150410245,1824
407,1756255150410518,1756255150412708,2190
408,1756255150412959,1756255150414782,1823
409,1756255150415025,1756255150417569,2544
410,1756255150417800,1756255150420007,2207
411,1756255150420288,1756255150422122,1834
412,1756255150422369,1756255150424270,1901
413,1756255150424518,1756255150426333,1815
414,1756255150426581,1756255150428456,1875
415,1756255150428695,1756255150431113,2418
416,1756255150431352,1756255150433172,1820
417,1756255150433406,1756255150435576,2170
418,1756255150436231,1756255150438059,1828
419,1756255150438288,1756255150440144,1856
420,1756255150440377,1756255150442186,1809
421,1756255150442421,1756255150445239,2818
422,1756255150445471,1756255150447343,1872
423,1756255150447587,1756255150449457,1870
424,1756255150449682,1756255150452601,2919
425,1756255150452849,1756255150454737,1888
426,1756255150454991,1756255150456899,1908
